0xE0E2,omicron_upsilon_oxia,,οὺ,,0xE794,omicron_upsilon_oxia,57570,59284,1714,E0E2,E794,6B2
0xE0E3,omicron_upsilon_persipomeni,,οῦ,,0xE795,omicron_upsilon_persipomeni,57571,59285,1714,E0E3,E795,6B2
0xE0E4,omicron_sigma,,οσ,,0xE796,omicron_sigma,57572,59286,1714,E0E4,E796,6B2
0x03D6,pi_symbol,ϖ,π,ϖ,0x03D6,pi_symbol,982,982,0,3D6,3D6,0
0xE0F0,pi_1,,π,,0xE7A0,pi_1,57584,59296,1712,E0F0,E7A0,6B0
0xE0F1,pi_alpha_rho,,παρ,,0xE7A1,pi_alpha_rho,57585,59297,1712,E0F1,E7A1,6B0
0xE0F2,pi_epsilon_rho,,περ,,0xE7A2,pi_epsilon_rho,57586,59298,1712,E0F2,E7A2,6B0
0xE0F3,pi_omicron,,πο,,0xE7A3,pi_omicron,57587,59299,1712,E0F3,E7A3,6B0
0xE0F4,pi_omicron_varia,,πὸ,,0xE7A4,pi_omicron_varia,57588,59300,1712,E0F4,E7A4,6B0
0xE0F5,pi_rho,,πρ,,0xE7A5,pi_rho,57589,59301,1712,E0F5,E7A5,6B0
0xE0F6,pi_tau,,πτ,,0xE7A6,pi_tau,57590,59302,1712,E0F6,E7A6,6B0
0xE0F7,Pi_1,,Π,,0xE7A7,Pi_1,57591,59303,1712,E0F7,E7A7,6B0
0xE110,sigma_1,,σ,,0xE7C0,sigma_1,57616,59328,1712,E110,E7C0,6B0
0xE111,sigma_theta,,σθ,,0xE7C1,sigma_theta,57617,59329,1712,E111,E7C1,6B0
0xE112,sigma_sigma,,σσ,,0xE7C4,sigma_sigma,57618,59332,1714,E112,E7C4,6B2
0xE113,sigma_tau,,στ,,0xE7C5,sigma_tau,57619,59333,1714,E113,E7C5,6B2
0xE114,sigma_tau_rho,,στρ,,0xE7C6,sigma_tau_rho,57620,59334,1714,E114,E7C6,6B2
0xE115,sigma_chi,,σχ,,0xE7C7,sigma_chi,57621,59335,1714,E115,E7C7,6B2
0xE116,sigma_theta_alpha_iota,,σθαι,,0xE7C2,sigma_theta_alpha_iota,57622,59330,1708,E116,E7C2,6AC
0xE117,sigma_pi,,σπ,,0xE7C3,sigma_pi,57623,59331,1708,E117,E7C3,6AC
0xE120,tau_tall,,τ,,0xE7D0,tau_tall,57632,59344,1712,E120,E7D0,6B0
0xE121,tau_alpha_iota,,ται,,0xE7D2,tau_alpha_iota,57633,59346,1713,E121,E7D2,6B1
0xE122,tau_eta_nu_varia_1,,τὴν,,0xE7D4,tau_eta_nu_varia_1,57634,59348,1714,E122,E7D4,6B2
0xE123,tau_eta_nu_varia_2,,τὴν,,0xE7D5,tau_eta_nu_varia_2,57635,59349,1714,E123,E7D5,6B2
0xE124,tau_eta_perispomeni_sigma_1,,τῆς,,0xE7D6,tau_eta_perispomeni_sigma_1,57636,59350,1714,E124,E7D6,6B2
0xE125,tau_eta_perispomeni_sigma_2,,τῆς,,0xE7D7,tau_eta_perispomeni_sigma_2,57637,59351,1714,E125,E7D7,6B2
0xE126,tau_iota,,τι,,0xE7D8,tau_iota,57638,59352,1714,E126,E7D8,6B2
0xE127,tau_omicron_1,,το,,0xE7D9,tau_omicron_1,57639,59353,1714,E127,E7D9,6B2
0xE128,tau_omicron_1_varia,,τὸ,,0xE7DA,tau_omicron_1_varia,57640,59354,1714,E128,E7DA,6B2
0xE129,tau_omicron_2_varia,,τὸ,,0xE7DB,tau_omicron_2_varia,57641,59355,1714,E129,E7DB,6B2
0xE12A,tau_omicron_3_varia,,τὸ,,0xE7DC,tau_omicron_3_varia,57642,59356,1714,E12A,E7DC,6B2
0xE12B,tau_omicron_varia_nu,,τὸν,,0xE7DE,tau_omicron_varia_nu,57643,59358,1715,E12B,E7DE,6B3
0xE12C,tau_omicron_upsilon_perispomeni,,τοῦ,,0xE7E1,tau_omicron_upsilon_perispomeni_2,57644,59361,1717,E12C,E7E1,6B5
0xE12D,tau_rho,,τρ,,0xE7E2,tau_rho_1,57645,59362,1717,E12D,E7E2,6B5
0xE12E,tau_omicron_nu_perispomeni,,τοῦ,,0xE7E0,tau_omicron_upsilon_perispomeni_1,57646,59360,1714,E12E,E7E0,6B2
0xE12F,tau_omicron_4_varia,,τὸ,,0xE7DD,tau_omicron_4_varia,57647,59357,1710,E12F,E7DD,6AE
0xE831,tau_omicron_2,,το,,0xE831,tau_omicron_2,59440,59441,0,E831,E831,0
0xE130,tau_omega_perispomeni_prosgegrammeni,,τῷ,,0xE7E5,tau_omega_perispomeni_prosgegrammeni,57648,59365,1717,E130,E7E5,6B5
0xE131,tau_omega_perispomeni_nu_1,,τῶν,,0xE7E6,tau_omega_perispomeni_nu_1,57649,59366,1717,E131,E7E6,6B5
0xE132,tau_omega_perispomeni_nu_2,,τῶν,,0xE7E7,tau_omega_perispomeni_nu_2,57650,59367,1717,E132,E7E7,6B5
