NoDiaWord	Strong	RMAC	Lemma
σαδωκ	G4524	N-PRI	Σαδώκ
αχειμ	G885	N-PRI	Ἀχείμ
ελιουδ	G1664	N-PRI	Ἐλιούδ
ελεαζαρ	G1648	N-PRI	Ἐλεάζαρ
ματθαν	G3157	N-PRI	Ματθάν
ιωσηφ	G2501	N-PRI	Ἰωσήφ
ανδρα	G435	N-ASM	ἀνήρ
μαριας	G3137	N-GSF	Μαρία
εξ	G1537	PREP	ἐκ
ης	G3739	R-GSF	ὅς
εγεννηθη	G1080	V-API-3S	γεννάω
ιησους	G2424	N-NSM	Ἰησοῦς
λεγομενος	G3004	V-PPP-NSM	λέγω
χριστος	G5547	N-NSM	Χριστός
πασαι	G3956	A-NPF	πᾶς
ουν	G3767	CONJ	οὖν
αι	G3588	T-NPF	ὁ
γενεαι	G1074	N-NPF	γενεά
απο	G575	PREP	ἀπό
εως	G2193	CONJ	ἕως
δεκατεσσαρες	G1180	A-NPF	δεκατέσσαρες
η	G3588	T-NSF	ὁ
γεννησις	G1083	N-NSF	γέννησις
ουτως	G3779	ADV	οὕτω
ην	G2258	V-IXI-3S	εἰμί
μνηστευθεισης	G3423	V-APP-GSF	μνηστεύω
γαρ	G1063	CONJ	γάρ
μητρος	G3384	N-GSF	μήτηρ
τω	G3588	T-DSM	ὁ
πριν	G4250	ADV	πρίν
η	G2228	PRT	ἤ
συνελθειν	G4905	V-2AAN	συνέρχομαι
αυτους	G846	P-APM	αὐτός
ευρεθη	G2147	V-API-3S	εὑρίσκω
εν	G1722	PREP	ἔν
γαστρι	G1064	N-DSF	γαστήρ
εχουσα	G2192	V-PAP-NSF	ἔχω
πνευματος	G4151	N-GSN	πνεῦμα
αγιου	G40	A-GSN	ἅγιος
ανηρ	G435	N-NSM	ἀνήρ
αυτης	G846	P-GSF	αὐτός
δικαιος	G1342	A-NSM	δίκαιος
ων	G5607	V-PXP-NSM	ὤν
μη	G3361	PRT-N	μή
θελων	G2309	V-PAP-NSM	θέλω
αυτην	G846	P-ASF	αὐτός
παραδειγματισαι	G3856	V-AAN	παραδειγματίζω
εβουληθη	G1014	V-AOI-3S	βούλομαι
λαθρα	G2977	ADV	λάθρα
απολυσαι	G630	V-AAN	ἀπολύω
ταυτα	G5023	D-APN	οὗτος
ενθυμηθεντος	G1760	V-AOP-GSM	ἐνθυμέομαι
ιδου	G2400	V-2AAM-2S	ἰδού
αγγελος	G32	N-NSM	ἄγγελος
κυριου	G2962	N-GSM	κύριος
κατ	G2596	PREP	κατά
οναρ	G3677	N-OI	ὄναρ
εφανη	G5316	V-2API-3S	φαίνω
αυτω	G846	P-DSM	αὐτός
λεγων	G3004	V-PAP-NSM	λέγω
υιος	G5207	N-NSM	υἱός
φοβηθης	G5399	V-AOS-2S	φοβέω
παραλαβειν	G3880	V-2AAN	παραλαμβάνω
μαριαμ	G3137	N-PRI	Μαρία
γυναικα	G1135	N-ASF	γυνή
σου	G4675	P-2GS	σύ
το	G3588	T-NSN	ὁ
αυτη	G846	P-DSF	αὐτός
γεννηθεν	G1080	V-APP-NSN	γεννάω
