NoDiaWord	Strong	RMAC	Lemma
συριας	G4947	N-GSF	Συρία
κυρηνιου	G2958	N-GSM	Κυρήνιος
απογραφεσθαι	G583	V-PPN	ἀπογράφω
ιουδαιαν	G2449	N-ASF	Ἰουδαία
πατριας	G3965	N-GSF	πατριά
απογραψασθαι	G583	V-AMN	ἀπογράφω
μεμνηστευμενη	G3423	V-RPP-DSF	μνηστεύω
ουση	G5607	V-PXP-DSF	ὤν
εγκυω	G1471	N-DSF	ἔγκυος
εσπαργανωσεν	G4683	V-AAI-3S	σπαργανόω
ανεκλινεν	G347	V-AAI-3S	ἀνακλίνω
φατνη	G5336	N-DSF	φάτνη
καταλυματι	G2646	N-DSN	κατάλυμα
ποιμενες	G4166	N-NPM	ποιμήν
αγραυλουντες	G63	V-PAP-NPM	ἀγραυλέω
φυλασσοντες	G5442	V-PAP-NPM	φυλάσσω
φυλακας	G5438	N-APF	φυλακή
ποιμνην	G4167	N-ASF	ποίμνη
επεστη	G2186	V-2AAI-3S	ἐφίστημι
περιελαμψεν	G4034	V-AAI-3S	περιλάμπω
ευαγγελιζομαι	G2097	V-PMI-1S	εὐαγγελίζω
ετεχθη	G5088	V-API-3S	τίκτω
σωτηρ	G4990	N-NSM	σωτήρ
βρεφος	G1025	N-ASN	βρέφος
εσπαργανωμενον	G4683	V-RPP-ASN	σπαργανόω
κειμενον	G2749	V-PNP-ASN	κεῖμαι
αγγελω	G32	N-DSM	ἄγγελος
στρατιας	G4756	N-GSF	στρατία
ουρανιου	G3770	A-GSF	οὐράνιος
αινουντων	G134	V-PAP-GPM	αἰνέω
λεγοντων	G3004	V-PAP-GPM	λέγω
γεγονος	G1096	V-2RAP-ASN	γίνομαι
εγνωρισεν	G1107	V-AAI-3S	γνωρίζω
σπευσαντες	G4692	V-AAP-NPM	σπεύδω
ανευρον	G429	V-2AAI-3P	ἀνευρίσκω
διεγνωρισαν	G1232	V-AAI-3P	διαγνωρίζω
λαληθεντος	G2980	V-APP-GSN	λαλέω
λαληθεντων	G2980	V-APP-GPN	λαλέω
ποιμενων	G4166	N-GPM	ποιμήν
ρηματα	G4487	N-APN	ῥήμα
συμβαλλουσα	G4820	V-PAP-NSF	συμβάλλω
επεστρεψαν	G1994	V-AAI-3P	ἐπιστρέφω
δοξαζοντες	G1392	V-PAP-NPM	δοξάζω
αινουντες	G134	V-PAP-NPM	αἰνέω
ελαληθη	G2980	V-API-3S	λαλέω
οκτω	G3638	A-NUI	ὀκτώ
κληθεν	G2564	V-APP-NSN	καλέω
αγγελου	G32	N-GSM	ἄγγελος
συλληφθηναι	G4815	V-APN	συλλαμβάνω
ανηγαγον	G321	V-2AAI-3P-ATT	ἀνάγω
παραστησαι	G3936	V-AAN	παρίστημι
αρσεν	G730	N-NSN	ἄρῥην
διανοιγον	G1272	V-PAP-NSN	διανοίγω
μητραν	G3388	N-ASF	μήτρα
ειρημενον	G2046	V-RPP-ASN-ATT	ἐρέω
ζευγος	G2201	N-NSN	ζεῦγος
τρυγονων	G5167	N-GPF	τρυγών
νεοσσους	G3502	N-APM	νεοσσός
περιστερων	G4058	N-GPF	περιστερά
συμεων	G4826	N-PRI	Συμεών
ευλαβης	G2126	A-NSM	εὐλαβής
παρακλησιν	G3874	N-ASF	παράκλησις
κεχρηματισμενον	G5537	V-RPP-NSN	χρηματίζω
ιδη	G1492	V-2AAS-3S	εἴδω
εισαγαγειν	G1521	V-2AAN	εἰσάγω
ειθισμενον	G1480	V-RPP-ASN	ἐθίζω
εδεξατο	G1209	V-ADI-3S	δέχομαι
αγκαλας	G43	N-APF	ἀγκάλη
απολυεις	G630	V-PAI-2S	ἀπολύω
δεσποτα	G1203	N-VSM	δεσπότης
ειρηνη	G1515	N-DSF	εἰρήνη
σωτηριον	G4992	A-ASN	σωτήριον
ητοιμασας	G2090	V-AAI-2S	ἑτοιμάζω
λαων	G2992	N-GPM	λαός
αποκαλυψιν	G602	N-ASF	ἀποκάλυψις
θαυμαζοντες	G2296	V-PAP-NPM	θαυμάζω
λαλουμενοις	G2980	V-PPP-DPN	λαλέω
ευλογησεν	G2127	V-AAI-3S	εὐλογέω
πτωσιν	G4431	N-ASF	πτῶσις
αντιλεγομενον	G483	V-PPP-ASN	ἀντίλεγω
διελευσεται	G1330	V-FDI-3S	διέρχομαι
ρομφαια	G4501	N-NSF	ῥομφαία
αποκαλυφθωσιν	G601	V-APS-3P	ἀποκαλύπτω
πολλων	G4183	A-GPF	πολύς
αννα	G451	N-NSF	Ἄννα
προφητις	G4398	N-NSF	προφῆτις
φανουηλ	G5323	N-PRI	Φανουήλ
φυλης	G5443	N-GSF	φυλή
ασηρ	G768	N-PRI	Ἀσήρ
ζησασα	G2198	V-AAP-NSF	ζάω
ετη	G2094	N-APN	ἔτος
ανδρος	G435	N-GSM	ἀνήρ
παρθενιας	G3932	N-GSF	παρθενία
ογδοηκοντατεσσαρων	G3589	A-GPN	ὀγδοήκοντα
αφιστατο	G868	V-INI-3S	ἀφίστημι
νηστειαις	G3521	N-DPF	νηστεία
δεησεσι	G1162	N-DPF	δέησις
λατρευουσα	G3000	V-PAP-NSF	λατρεύω
επιστασα	G2186	V-2AAP-NSF	ἐφίστημι
ανθωμολογειτο	G437	V-INI-3S	ἀνθομολογέομαι
προσδεχομενοις	G4327	V-PNP-DPM	προσδέχομαι
ετελεσαν	G5055	V-AAI-3P	τελέω
υπεστρεψαν	G5290	V-AAI-3P	ὑποστρέφω
πληρουμενον	G4137	V-PPP-NSN	πληρόω
σοφιας	G4678	N-GSF	σοφία
χαρις	G5485	N-NSF	χάρις
γονεις	G1118	N-NPM	γονεύς
ετος	G2094	N-ASN	ἔτος
αναβαντων	G305	V-2AAP-GPM	ἀναβαίνω
εορτης	G1859	N-GSF	ἑορτή
τελειωσαντων	G5048	V-AAP-GPM	τελειόω
υποστρεφειν	G5290	V-PAN	ὑποστρέφω
υπεμεινεν	G5278	V-AAI-3S	ὑπομένω
νομισαντες	G3543	V-AAP-NPM	νομίζω
συνοδια	G4923	N-DSF	συνοδία
ανεζητουν	G327	V-IAI-3P	ἀναζητέω
γνωστοις	G1110	A-DPM	γνωστός
καθεζομενον	G2516	V-PNP-ASM	καθέζομαι
διδασκαλων	G1320	N-GPM	διδάσκαλος
ακουοντα	G191	V-PAP-ASM	ἀκούω
επερωτωντα	G1905	V-PAP-ASM	ἐπερωτάω
συνεσει	G4907	N-DSF	σύνεσις
αποκρισεσιν	G612	N-DPF	ἀπόκρισις
εξεπλαγησαν	G1605	V-2API-3P	ἐκπλήσσω
οδυνωμενοι	G3600	V-PPP-NPM	ὀδυνάω
εζητουμεν	G2212	V-IAI-1P	ζητέω
εζητειτε	G2212	V-IAI-2P	ζητέω
ηδειτε	G1492	V-LAI-2P	εἴδω
υποτασσομενος	G5293	V-PPP-NSM	ὑποτάσσω
διετηρει	G1301	V-IAI-3S	διατηρέω
προεκοπτε	G4298	V-IAI-3S	προκόπτω
σοφια	G4678	N-DSF	σοφία
ηλικια	G2244	N-DSF	ἡλικία
χαριτι	G5485	N-DSF	χάρις
ετει	G2094	N-DSN	ἔτος
πεντεκαιδεκατω	G4003	A-DSN	πεντεκαιδέκατος
ηγεμονιας	G2231	N-GSF	ἡγεμονία
τιβεριου	G5086	N-GSM	Τιβέριος
ποντιου	G4194	N-GSM	Πόντιος
πιλατου	G4091	N-GSM	Πιλάτος
τετραρχουντος	G5075	V-PAP-GSM	τετραρχέω
ιτουραιας	G2484	A-GSF	Ἰτουραία
τραχωνιτιδος	G5139	N-GSF	Τραχωνῖτις
λυσανιου	G3078	N-GSM	Λυσανίας
αβιληνης	G9	N-GSF	Ἀβιληνή
αννα	G452	N-GSM	Ἄννας
φαραγξ	G5327	N-NSF	φάραγξ
πληρωθησεται	G4137	V-FPI-3S	πληρόω
ορος	G3735	N-NSN	ὄρος
βουνος	G1015	N-NSM	βουνός
σκολια	G4646	A-NPN	σκολιός
ευθειαν	G2117	A-ASF	εὐθύς
τραχειαι	G5138	A-NPF	τραχύς
λειας	G3006	A-APF	λεῖος
οψεται	G3700	V-FDI-3S	ὀπτάνομαι
εκπορευομενοις	G1607	V-PNP-DPM	ἐκπορεύομαι
αρξησθε	G756	V-AMS-2P	ἄρχομαι
μεταδοτω	G3330	V-2AAM-3S	μεταδίδωμι
ποιειτω	G4160	V-PAM-3S	ποιέω
πλεον	G4119	A-ASN-C	πλείων
διατεταγμενον	G1299	V-RPP-ASN	διατάσσω
πρασσετε	G4238	V-PAI-2P	πράσσω
στρατευομενοι	G4754	V-PMP-NPM	στρατεύομαι
μηδενα	G3367	A-ASM	μηδείς
διασεισητε	G1286	V-AAS-2P	διασείω
συκοφαντησητε	G4811	V-AAS-2P	συκοφαντέω
αρκεισθε	G714	V-PPM-2P	ἀρκέω
οψωνιοις	G3800	N-DPN	ὀψώνιον
προσδοκωντος	G4328	V-PAP-GSM	προσδοκάω
διαλογιζομενων	G1260	V-PNP-GPM	διαλογίζομαι
απασι	G537	A-DPM	ἅπας
ευηγγελιζετο	G2097	V-IMI-3S	εὐαγγελίζω
ελεγχομενος	G1651	V-PPP-NSM	ἐλέγχω
πονηρων	G4190	A-GPN	πονηρός
προσεθηκε	G4369	V-AAI-3S	προστίθημι
κατεκλεισε	G2623	V-AAI-3S	κατακλείω
βαπτισθεντος	G907	V-APP-GSM	βαπτίζω
προσευχομενου	G4336	V-PNP-GSM	προσεύχομαι
ανεωχθηναι	G455	V-APN	ἀνοίγω
καταβηναι	G2597	V-2AAN	καταβαίνω
σωματικω	G4984	A-DSN	σωματικός
ειδει	G1491	N-DSN	εἶδος
λεγουσαν	G3004	V-PAP-ASF	λέγω
ηυδοκησα	G2106	V-AAI-1S	εὐδοκέω
αρχομενος	G756	V-PMP-NSM	ἄρχομαι
ενομιζετο	G3543	V-IPI-3S	νομίζω
ηλι	G2242	N-PRI	Ἡλί
ματθατ	G3158	N-PRI	Ματθάτ
λευι	G3017	N-PRI	Λευΐ
μελχι	G3197	N-PRI	Μελχί
ιαννα	G2388	N-PRI	Ἰαννά
ματταθιου	G3161	N-GSM	Ματταθίας
αμως	G301	N-PRI	Ἀμώς
ναουμ	G3486	N-PRI	Ναούμ
εσλι	G2069	N-PRI	Ἐσλί
ναγγαι	G3477	N-PRI	Ναγγαί
μααθ	G3092	N-PRI	Μαάθ
σεμει	G4584	N-PRI	Σεμεΐ
ιωαννα	G2490	N-GSM	Ἰωαννᾶς
ρησα	G4488	N-PRI	Ῥησά
νηρι	G3518	N-PRI	Νηρί
αδδι	G78	N-PRI	Ἀδδί
κωσαμ	G2973	N-PRI	Κωσάμ
ελμωδαμ	G1678	N-PRI	Ἐλμωδάμ
ηρ	G2262	N-PRI	Ἤρ
ελιεζερ	G1663	N-PRI	Ἐλιέζερ
ιωρειμ	G2497	N-PRI	Ἰωρείμ
ιωναν	G2494	N-PRI	Ἰωνάν
μελεα	G3190	N-PRI	Μελεᾶς
μαιναν	G3104	N-PRI	Μαϊνάν
ματταθα	G3160	N-PRI	Ματταθά
ναθαν	G3481	N-PRI	Ναθάν
θαρα	G2291	N-PRI	Θάρα
ναχωρ	G3493	N-PRI	Ναχώρ
σαρουχ	G4562	N-PRI	Σαρούχ
ραγαυ	G4466	N-PRI	Ῥαγαῦ
φαλεκ	G5317	N-PRI	Φάλεκ
εβερ	G1443	N-PRI	Ἐβέρ
σαλα	G4527	N-PRI	Σαλά
καιναν	G2536	N-PRI	Καϊνάν
αρφαξαδ	G742	N-PRI	Ἀρφαξάδ
σημ	G4590	N-PRI	Σήμ
λαμεχ	G2984	N-PRI	Λάμεχ
μαθουσαλα	G3103	N-PRI	Μαθουσάλα
ενωχ	G1802	N-PRI	Ἐνώχ
ιαρεδ	G2391	N-PRI	Ἰάρεδ
μαλελεηλ	G3121	N-PRI	Μαλελεήλ
ενως	G1800	N-PRI	Ἐνώς
σηθ	G4589	N-PRI	Σήθ
αδαμ	G76	N-PRI	Ἀδάμ
πληρης	G4134	A-NSM	πλήρης
ηγετο	G71	V-IPI-3S	ἄγω
συντελεσθεισων	G4931	V-APP-GPF	συντελέω
αρτος	G740	N-NSM	ἄρτος
αναγαγων	G321	V-2AAP-NSM	ἀνάγω
εδειξεν	G1166	V-AAI-3S	δεικνύω
οικουμενης	G3625	N-GSF	οἰκουμένη
στιγμη	G4743	N-DSF	στιγμή
χρονου	G5550	N-GSM	χρόνος
απασαν	G537	A-ASF	ἅπας
παραδεδοται	G3860	V-RPI-3S	παραδίδωμι
θελω	G2309	V-PAS-1S	θέλω
διδωμι	G1325	V-PAI-1S	δίδωμι
ηγαγεν	G71	V-2AAI-3S	ἄγω
διαφυλαξαι	G1314	V-AAN	διαφυλάσσω
ειρηται	G2046	V-RPI-3S	ἐρέω
συντελεσας	G4931	V-AAP-NSM	συντελέω
απεστη	G868	V-2AAI-3S	ἀφίστημι
περιχωρου	G4066	A-GSF	περίχωρος
δοξαζομενος	G1392	V-PPP-NSM	δοξάζω
τεθραμμενος	G5142	V-RPP-NSM	τρέφω
ειωθος	G1486	V-2RAP-ASN	ἔθω
αναγνωναι	G314	V-2AAN	ἀναγινώσκω
επεδοθη	G1929	V-API-3S	ἐπιδίδωμι
βιβλιον	G975	N-NSN	βιβλίον
αναπτυξας	G380	V-AAP-NSM	ἀναπτύσσω
γεγραμμενον	G1125	V-RPP-NSN	γράφω
εχρισε	G5548	V-AAI-3S	χρίω
ευαγγελιζεσθαι	G2097	V-PMN	εὐαγγελίζω
απεσταλκε	G649	V-RAI-3S	ἀποστέλλω
ιασασθαι	G2390	V-ADN	ἰάομαι
συντετριμμενους	G4937	V-RPP-APM	συντρίβω
κηρυξαι	G2784	V-AAN	κηρύσσω
αιχμαλωτοις	G164	N-DPM	αἰχμαλωτός
τυφλοις	G5185	A-DPM	τυφλός
αναβλεψιν	G309	N-ASF	ἀνάβλεψις
αποστειλαι	G649	V-AAN	ἀποστέλλω
τεθραυσμενους	G2352	V-RPP-APM	θραύω
ενιαυτον	G1763	N-ASM	ἐνιαυτός
δεκτον	G1184	A-ASM	δεκτός
πτυξας	G4428	V-AAP-NSM	πτύσσω
αποδους	G591	V-2AAP-NSM	ἀποδίδωμι
εκαθισε	G2523	V-AAI-3S	καθίζω
ατενιζοντες	G816	V-PAP-NPM	ἀτενίζω
εμαρτυρουν	G3140	V-IAI-3P	μαρτυρέω
χαριτος	G5485	N-GSF	χάρις
παντως	G3843	ADV	πάντως
ιατρε	G2395	N-VSM	ἰατρός
θεραπευσον	G2323	V-AAM-2S	θεραπεύω
δεκτος	G1184	A-NSM	δεκτός
χηραι	G5503	N-NPF	χήρα
λιμος	G3042	N-NSM	λιμός
επεμφθη	G3992	V-API-3S	πέμπω
σαρεπτα	G4558	N-APN	Σάρεπτα
χηραν	G5503	N-ASF	χήρα
ελισσαιου	G1666	N-GSM	Ἐλισσαίος
νεεμαν	G3497	N-PRI	Νεεμάν
συρος	G4948	N-NSM	Σύρος
θυμου	G2372	N-GSM	θυμός
οφρυος	G3790	N-GSF	ὀφρύς
ωκοδομητο	G3618	V-LPI-3S	οἰκοδομέω
κατακρημνισαι	G2630	V-AAN	κατακρημνίζω
διελθων	G1330	V-2AAP-NSM	διέρχομαι
κατηλθεν	G2718	V-2AAI-3S	κατέρχομαι
ακαθαρτου	G169	A-GSN	ἀκάθαρτος
ριψαν	G4496	V-AAP-NSN	ῥίπτω
βλαψαν	G984	V-AAP-NSN	βλάπτω
θαμβος	G2285	N-NSN	θάμβος
συνελαλουν	G4814	V-IAI-3P	συλλαλέω
ηχος	G2279	N-NSM	ἦχος
συνεχομενη	G4912	V-PPP-NSF	συνέχω
πυρετω	G4446	N-DSM	πυρετός
μεγαλω	G3173	A-DSM	μέγας
επιστας	G2186	V-2AAP-NSM	ἐφίστημι
δυνοντος	G1416	V-PAP-GSM	δύνω
εξηρχετο	G1831	V-INI-3S	ἐξέρχομαι
δαιμονια	G1140	N-NPN	δαιμόνιον
κραζοντα	G2896	V-PAP-NPN	κράζω
επιτιμων	G2008	V-PAP-NSM	ἐπιτιμάω
εια	G1439	V-IAI-3S	ἐάω
κατειχον	G2722	V-IAI-3P	κατέχω
πορευεσθαι	G4198	V-PNN	πορεύομαι
ετεραις	G2087	A-DPF	ἕτερος
απεσταλμαι	G649	V-RPI-1S	ἀποστέλλω
επικεισθαι	G1945	V-PNN	ἐπίκειμαι
λιμνην	G3041	N-ASF	λίμνη
πλοια	G4143	N-APN	πλοῖον
εστωτα	G2476	V-RAP-APN	ἵστημι
αποβαντες	G576	V-2AAP-NPM	ἀποβαίνω
απεπλυναν	G637	V-AAI-3P	ἀποπλύνω
πλοιων	G4143	N-GPN	πλοῖον
ηρωτησεν	G2065	V-AAI-3S	ἐρωτάω
επαναγαγειν	G1877	V-2AAN	ἐπανάγω
ολιγον	G3641	A-ASM	ὀλίγος
επαυσατο	G3973	V-AMI-3S	παύω
λαλων	G2980	V-PAP-NSM	λαλέω
επαναγαγε	G1877	V-2AAM-2S	ἐπανάγω
χαλασατε	G5465	V-AAM-2P	χαλάω
αγραν	G61	N-ASF	ἄγρα
επιστατα	G1988	N-VSM	ἐπιστάτης
κοπιασαντες	G2872	V-AAP-NPM	κοπιάω
χαλασω	G5465	V-FAI-1S	χαλάω
δικτυον	G1350	N-ASN	δίκτυον
συνεκλεισαν	G4788	V-AAI-3P	συγκλείω
πληθος	G4128	N-ASN	πλήθος
διερρηγνυτο	G1284	V-IPI-3S	διαρῥήσσω
δικτυον	G1350	N-NSN	δίκτυον
κατενευσαν	G2656	V-AAI-3P	κατανεύω
μετοχοις	G3353	A-DPM	μέτοχος
ετερω	G2087	A-DSN	ἕτερος
ελθοντας	G2064	V-2AAP-APM	ἔρχομαι
συλλαβεσθαι	G4815	V-2AMN	συλλαμβάνω
επλησαν	G4130	V-AAI-3P	πλήθω
βυθιζεσθαι	G1036	V-PPN	βυθίζω
αυτα	G846	P-NPN	αὐτός
γονασι	G1119	N-DPN	γονύ
αμαρτωλος	G268	A-NSM	ἁμαρτωλός
περιεσχεν	G4023	V-2AAI-3S	περιέχω
αγρα	G61	N-DSF	ἄγρα
συνελαβον	G4815	V-2AAI-3P	συλλαμβάνω
ζωγρων	G2221	V-PAP-NSM	ζωγρέω
καταγαγοντες	G2609	V-2AAP-NPM	κατάγω
μια	G1520	A-DSF	εἷς
λεπρας	G3014	N-GSF	λέπρα
εδεηθη	G1189	V-API-3S	δέομαι
διηρχετο	G1330	V-INI-3S	διέρχομαι
συνηρχοντο	G4905	V-INI-3P	συνέρχομαι
θεραπευεσθαι	G2323	V-PPN	θεραπεύω
ασθενειων	G769	N-GPF	ἀσθένεια
υποχωρων	G5298	V-PAP-NSM	ὑποχωρέω
νομοδιδασκαλοι	G3547	N-NPM	νομοδιδάσκαλος
εληλυθοτες	G2064	V-2RAP-NPM	ἔρχομαι
ιασθαι	G2390	V-PNN	ἰάομαι
παραλελυμενος	G3886	V-RPP-NSM	παραλύω
εισενεγκειν	G1533	V-2AAN	εἰσφέρω
θειναι	G5087	V-2AAN	τίθημι
ποιας	G4169	I-GSF	ποῖος
εισενεγκωσιν	G1533	V-2AAS-3P	εἰσφέρω
αναβαντες	G305	V-2AAP-NPM	ἀναβαίνω
δωμα	G1430	N-ASN	δῶμα
κεραμων	G2766	N-GPM	κέραμος
καθηκαν	G2524	V-AAI-3P	καθίημι
κλινιδιω	G2826	N-DSN	κλινίδιον
ανθρωπε	G444	N-VSM	ἄνθρωπος
διαλογιζεσθαι	G1260	V-PNN	διαλογίζομαι
διαλογισμους	G1261	N-APM	διαλογισμός
παραλελυμενω	G3886	V-RPP-DSM	παραλύω
κλινιδιον	G2826	N-ASN	κλινίδιον
δοξαζων	G1392	V-PAP-NSM	δοξάζω
εδοξαζον	G1392	V-IAI-3P	δοξάζω
παραδοξα	G3861	A-APN	παράδοξος
εθεασατο	G2300	V-ADI-3S	θεάομαι
τελωνην	G5057	N-ASM	τελώνης
δοχην	G1403	N-ASF	δοχή
λευις	G3018	N-NSM	Λευΐς
αλλων	G243	A-GPM	ἄλλος
κατακειμενοι	G2621	V-PNP-NPM	κατάκειμαι
εσθιετε	G2068	V-PAI-2P	ἐσθίω
πινετε	G4095	V-PAI-2P	πίνω
υγιαινοντες	G5198	V-PAP-NPM	ὑγιαίνω
εληλυθα	G2064	V-2RAI-1S	ἔρχομαι
πυκνα	G4437	A-APN	πυκνός
δεησεις	G1162	N-APF	δέησις
ποιουνται	G4160	V-PMI-3P	ποιέω
πινουσιν	G4095	V-PAI-3P	πίνω
καινου	G2537	A-GSN	καινός
παλαιον	G3820	A-ASN	παλαιός
σχιζει	G4977	V-PAI-3S	σχίζω
συμφωνει	G4856	V-PAI-3S	συμφωνέω
ρηξει	G4486	V-FAI-3S	ῥήγνυμι
εκχυθησεται	G1632	V-FPI-3S	ἐκχέω
πιων	G4095	V-2AAP-NSM	πίνω
παλαιον	G3820	A-ASM	παλαιός
παλαιος	G3820	A-NSM	παλαιός
χρηστοτερος	G5543	A-NSM-C	χρηστός
δευτεροπρωτω	G1207	A-DSN	δευτερόπρωτος
διαπορευεσθαι	G1279	V-PNN	διαπορεύομαι
ετιλλον	G5089	V-IAI-3P	τίλλω
ησθιον	G2068	V-IAI-3P	ἐσθίω
ψωχοντες	G5597	V-PAP-NPM	ψώχω
οποτε	G3698	ADV	ὁπότε
εφαγε	G5315	V-2AAI-3S	φάγω
ιερεις	G2409	N-APM	ἱερεύς
ξηρα	G3584	A-NSF	ξηρός
ευρωσι	G2147	V-2AAS-3P	εὑρίσκω
κατηγοριαν	G2724	N-ASF	κατηγορία
στηθι	G2476	V-2AAM-2S	ἵστημι
ανοιας	G454	N-GSF	ἄνοια
διελαλουν	G1255	V-IAI-3P	διαλαλέω
ποιησειαν	G4160	V-AAO-3P-A	ποιέω
διανυκτερευων	G1273	V-PAP-NSM	διανυκτερεύω
ημερα	G2250	N-NSF	ἡμέρα
προσεφωνησε	G4377	V-AAI-3S	προσφωνέω
εκλεξαμενος	G1586	V-AMP-NSM	ἐκλέγομαι
αποστολους	G652	N-APM	ἀπόστολος
ωνομασε	G3687	V-AAI-3S	ὀνομάζω
καλουμενον	G2564	V-PPP-ASM	καλέω
ζηλωτην	G2207	N-ASM	ζηλωτής
προδοτης	G4273	N-NSM	προδότης
πεδινου	G3977	A-GSM	πεδινός
παραλιου	G3882	A-GSF	παράλιος
ιαθηναι	G2390	V-APN	ἰάομαι
νοσων	G3554	N-GPF	νόσος
οχλουμενοι	G3791	V-PPP-NPM	ὀχλέω
εθεραπευοντο	G2323	V-IPI-3P	θεραπεύω
απτεσθαι	G680	V-PMN	ἅπτομαι
ιατο	G2390	V-INI-3S	ἰάομαι
επαρας	G1869	V-AAP-NSM	ἐπαίρω
υμετερα	G5212	S-2NPF	ὑμέτερος
χορτασθησεσθε	G5526	V-FPI-2P	χορτάζω
κλαιοντες	G2799	V-PAP-NPM	κλαίω
γελασετε	G1070	V-FAI-2P	γελάω
μισησωσιν	G3404	V-AAS-3P	μισέω
αφορισωσιν	G873	V-AAS-3P	ἀφορίζω
ονειδισωσι	G3679	V-AAS-3P	ὀνειδίζω
ενεκα	G1752	ADV	ἕνεκα
σκιρτησατε	G4640	V-AAM-2P	σκιρτάω
ταυτα	G5024	N-APN-C	αὐτός
πατερες	G3962	N-NPM	πατήρ
πλουσιοις	G4145	A-DPM	πλούσιος
απεχετε	G568	V-PAI-2P	ἀπέχω
εμπεπλησμενοι	G1705	V-RPP-NPM	ἐμπίπλημι
πεινασετε	G3983	V-FAI-2P	πεινάω
γελωντες	G1070	V-PAP-NPM	γελάω
πενθησετε	G3996	V-FAI-2P	πενθέω
κλαυσετε	G2799	V-FAI-2P	κλαίω
ψευδοπροφηταις	G5578	N-DPM	ψευδοπροφήτης
μισουσιν	G3404	V-PAP-DPM	μισέω
τυπτοντι	G5180	V-PAP-DSM	τύπτω
παρεχε	G3930	V-PAM-2S	παρέχω
αιροντος	G142	V-PAP-GSM	αἴρω
κωλυσης	G2967	V-AAS-2S	κωλύω
σα	G4674	S-2APN	σός
απαιτει	G523	V-PAM-2S	ἀπαιτέω
αγαπατε	G25	V-PAI-2P	ἀγαπάω
αγαπωσι	G25	V-PAI-3P	ἀγαπάω
αγαθοποιητε	G15	V-PAS-2P	ἀγαθοποιέω
αγαθοποιουντας	G15	V-PAP-APM	ἀγαθοποιέω
δανειζητε	G1155	V-PAS-2P	δανείζω
ελπιζετε	G1679	V-PAI-2P	ἐλπίζω
απολαβειν	G618	V-2AAN	ἀπολαμβάνω
αμαρτωλοις	G268	A-DPM	ἁμαρτωλός
δανειζουσιν	G1155	V-PAI-3P	δανείζω
απολαβωσι	G618	V-2AAS-3P	ἀπολαμβάνω
ισα	G2470	A-APN	ἴσος
αγαθοποιειτε	G15	V-PAM-2P	ἀγαθοποιέω
δανειζετε	G1155	V-PAM-2P	δανείζω
απελπιζοντες	G560	V-PAP-NPM	ἀπελπίζω
αχαριστους	G884	A-APM	ἀχάριστος
οικτιρμονες	G3629	A-NPM	οἰκτίρμων
οικτιρμων	G3629	A-NSM	οἰκτίρμων
καταδικαζετε	G2613	V-PAM-2P	καταδικάζω
καταδικασθητε	G2613	V-APS-2P	καταδικάζω
απολυετε	G630	V-PAM-2P	ἀπολύω
απολυθησεσθε	G630	V-FPI-2P	ἀπολύω
διδοτε	G1325	V-PAM-2P	δίδωμι
πεπιεσμενον	G4085	V-RPP-ASN	πιέζω
σεσαλευμενον	G4531	V-RPP-ASN	σαλεύω
υπερεκχυνομενον	G5240	V-PPP-ASN	ὑπερεκχύνω
δωσουσιν	G1325	V-FAI-3P	δίδωμι
κολπον	G2859	N-ASM	κόλπος
οδηγειν	G3594	V-PAN	ὁδηγέω
κατηρτισμενος	G2675	V-RPP-NSM	καταρτίζω
ιδιω	G2398	A-DSM	ἴδιος
αδελφε	G80	N-VSM	ἀδελφός
εκαστον	G1538	A-NSN	ἕκαστος
ιδιου	G2398	A-GSM	ἴδιος
συλλεγουσι	G4816	V-PAI-3P	συλλέγω
τρυγωσι	G5166	V-PAI-3P	τρυγάω
προφερει	G4393	V-PAI-3S	προφέρω
καλειτε	G2564	V-PAI-2P	καλέω
υποδειξω	G5263	V-FAI-1S	ὑποδείκνυμι
οικοδομουντι	G3618	V-PAP-DSM	οἰκοδομέω
εσκαψε	G4626	V-AAI-3S	σκάπτω
εβαθυνε	G900	V-AAI-3S	βαθύνω
εθηκε	G5087	V-AAI-3S	τίθημι
θεμελιον	G2310	N-ASM	θεμέλιος
πλημμυρας	G4132	N-GSF	πλημμύρα
προσερρηξεν	G4366	V-AAI-3S	προσρήγνυμι
ποταμος	G4215	N-NSM	ποταμός
ισχυσε	G2480	V-AAI-3S	ἰσχύω
σαλευσαι	G4531	V-AAN	σαλεύω
οικοδομησαντι	G3618	V-AAP-DSM	οἰκοδομέω
θεμελιου	G2310	N-GSM	θεμέλιος
ρηγμα	G4485	N-NSN	ῥήγμα
μεγα	G3173	A-NSN	μέγας
επληρωσε	G4137	V-AAI-3S	πληρόω
εκατονταρχου	G1543	N-GSM	ἑκατοντάρχης
ημελλε	G3195	V-IAI-3S-ATT	μέλλω
τελευταν	G5053	V-PAN	τελευτάω
εντιμος	G1784	A-NSM	ἔντιμος
πρεσβυτερους	G4245	A-APM	πρεσβύτερος
ερωτων	G2065	V-PAP-NSM	ἐρωτάω
διασωση	G1295	V-AAS-3S	διασώζω
παραγενομενοι	G3854	V-2ADP-NPM	παραγίνομαι
σπουδαιως	G4709	ADV	σπουδαίως
παρεξει	G3930	V-FAI-3S	παρέχω
αγαπα	G25	V-PAI-3S	ἀγαπάω
ωκοδομησεν	G3618	V-AAI-3S	οἰκοδομέω
