ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Critical	Error	Variance	Context	Inflection	Resolved
199	381	Mat 	12	36	13	ἀοδώσουσι	αποδωσουσιν	αποδωσουσιν	G591	V-FAI-3P	ἀποδίδωμι							0	0	0	0	0	0	1
200	388	Mat 	12	43	2	ἂ	αν	αν	G302	PRT	ἄν							0	0	0	0	0	0	1
201	389	Mat 	12	44	11	ἐλθὼ	ελθων	ελθων	G2064	V-2AAP-NSM	ἔρχομαι							0	0	0	0	0	0	1
202	392	Mat 	12	47	1	ιε	ειπεν	ειπεν	G2036	V-2AAI-3S	ἔπω							0	0	0	0	0	0	1
203	392	Mat 	12	47	14	ἐήκασι	εστηκασιν	εστηκασιν	G2476	V-RAI-3P	ἵστημι							0	0	0	0	0	0	1
204	393	Mat 	12	48	4	ιεν	ειπεν	ειπεν	G2036	V-2AAI-3S	ἔπω							0	0	0	0	0	0	1
205	399	Mat 	13	4	8	ἔπεσε	επεσεν	επεσεν	G4098	V-2AAI-3S	πίπτω							0	0	0	0	0	0	1
206	399	Mat 	13	4	13	ἦλϑε	ηλθεν	ηλθεν	G2064	V-2AAI-3S	ἔρχομαι							0	0	0	0	0	0	1
207	400	Mat 	13	5	9	ιχε	ειχεν	ειχεν	G2192	V-IAI-3S	ἔχω							0	0	0	0	0	0	1
208	403	Mat 	13	8	3	ἔπεσα	επεσαν	επεσαν	G4098	V-2AAI-3P	πίπτω							0	0	0	0	0	0	1
209	405	Mat 	13	10	7	διὰ	δια	δια	G1223	PREP	διά							0	0	0	0	0	0	1
210	405	Mat 	13	10	8	τὶ	τι	τι	G5100	X-ASN	τίς							0	0	0	0	0	0	1
