ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Critical	Error	Variance	Context	Inflection	Resolved
54	107	Mat 	5	17	2	νομίοῃτἑ	νομιοητε	νομισητε	G3543	V-AAS-2P	νομίζω	PC	V		Spelling-X	PC-V--X	TR uses νομιστε replacing οητε with σητε.	1	1	0	1	0	0	1
55	109	Mat 	5	19	6	ωλῶ	εντωλων	εντολων	G1785	N-GPF	ἐντολή	PC	V	CI	Spelling-X	PC-V-CI-X	TR uses εντολων	1	1	0	1	1	1	1
56	109	Mat 	5	19	23	δʼ	δ'	δ	G1161	CONJ	δέ	PC	V		Punctuation-P	PC-V--P	None	1	1	0	1	0	0	1
57	110	Mat 	5	20	3	περιεύσ	περισσευσει	περισσευη	G4052	V-PAS-3S	περισσεύω	PC	V	CI	Spelling-X	PC-V-CI-X	None	1	1	0	1	1	1	1
58	111	Mat 	5	21	9	δʼ	δ'	δ	G1161	CONJ	δέ	PC	V		Punctuation-P	PC-V--P	None	1	1	0	1	0	0	1
59	111	Mat 	5	21	11	φονεύσει	φονευσει	φονευση	G5407	V-AAS-3S	φονεύω	PC	V	CI	Spelling-X	PC-V-CI-X	TR uses φονεύσῃ.  	1	1	0	1	1	1	1
60	112	Mat 	5	22	18	δʼ	δ'	δ	G1161	CONJ	δέ	PC	V		Punctuation-P	PC-V--P	None	1	1	0	1	0	0	1
61	112	Mat 	5	22	30	δʼ	δ'	δ	G1161	CONJ	δέ	PC	V		Punctuation-P	PC-V--P	None	1	1	0	1	0	0	1
62	112	Mat 	5	22	38	γέενα	γεεναν	γεενναν	G1067	N-ASF	γέεννα	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
63	115	Mat 	5	25	13	δῷ	δω	οδω	G3598	N-DSF	ὁδός	C	E		Spacing-Y	C-E--Y	end of line spacing	0	1	1	0	0	0	1
64	119	Mat 	5	29	13	βάε	βαλλε	βαλε	G906	V-2AAM-2S	βάλλω	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
65	119	Mat 	5	29	33	γέενα	γεεναν	γεενναν	G1067	N-ASF	γέεννα	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
66	120	Mat 	5	30	12	βάε	βαλλε	βαλε	G906	V-2AAM-2S	βάλλω	PC	V		Spelling-X	PC-V--X	TR uses βαλε	1	1	0	1	0	0	1
67	120	Mat 	5	30	32	γέενα	γεεναν	γεενναν	G1067	N-ASF	γέεννα	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
68	121	Mat 	5	31	5	ἀλύσ	απολυσει	απολυση	G630	V-AAS-3S	ἀπολύω	PC	V	I	Spelling-X	PC-V-I-X	None	1	1	0	1	0	1	1
69	122	Mat 	5	32	8	ἀπολύσ	απολυσει	απολυση	G630	V-AAS-3S	ἀπολύω	PC	V	I	Spelling-X	PC-V-I-X	None	1	1	0	1	0	1	1
70	122	Mat 	5	32	15	ποι	ποειι	ποιει	G4160	V-PAI-3S	ποιέω	PC	V	CI	Spelling-X	PC-V-CI-X	"ι should precede .
TR uses ποιει"	1	1	0	1	1	1	1
71	122	Mat 	5	32	22	γαμήσ	γαμησει	γαμηση	G1060	V-AAS-3S	γαμέω	PC	V	CI	Spelling-X	PC-V-CI-X	TR uses γαμηση	1	1	0	1	1	1	1
72	126	Mat 	5	36	6	ὀμώσς	ομωσεις	ομοσης	G3660	V-AAS-2S	ὀμνύω	PC	V	CI	Spelling-X	PC-V-CI-X	None	1	1	0	1	1	1	1
73	127	Mat 	5	37	12	ιὸ	παρισσον	περισσον	G4053	A-NSN	περισσός	PC	V	C	Spelling-X	PC-V-C-X	None	1	1	0	1	1	0	1
74	129	Mat 	5	39	9	ἁλλʼ	αλλ'	αλλ	G235	CONJ	ἀλλά	P	V	C	Punctuation-P	P-V-C-P	None	1	0	0	1	1	0	1
75	131	Mat 	5	41	8	μεʼ	μετ'	μετ	G3326	PREP	μετά	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
76	136	Mat 	5	46	9	ἔχε;	εχετε;	εχετε	G2192	V-PAI-2P	ἔχω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
77	136	Mat 	5	46	16	ισι;	ποιουσιν;	ποιουσιν	G4160	V-PAI-3P	ποιέω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
78	137	Mat 	5	47	10	οι;	ποιειτε;	ποιειτε	G4160	V-PAM-2P	ποιέω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
79	137	Mat 	5	47	16	οισι;	ποιουσιν;	ποιουσιν	G4160	V-PAI-3P	ποιέω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
80	140	Mat 	6	2	1	ὅἂ	οτ᾽αν	οταν	G3752	CONJ	ὅταν	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
81	140	Mat 	6	2	21	δοξῶσι	δοξσθωσιν	δοξ	None	None	None				None	---e	None	0	0	0	0	0	0	1
82	140	Mat 	6	2	28	ἁπέχσι	απεχουσιν	απεχουσι	G568	V-PAI-3P	ἀπέχω	P	V	I	None	P-V-I-e	None	1	0	0	1	0	1	1
83	143	Mat 	6	5	24	φῶσι	φανωσιν	φανωσι	G5316	V-2APS-3P	φαίνω	PC	V	I	None	PC-V-I-e	None	1	1	0	1	0	1	1
84	143	Mat 	6	5	26	ἀνθρώηι	ανθρωηποις	ανθρωποις	G444	N-DPM	ἄνθρωπος	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
85	143	Mat 	6	5	31	ἀπέχσι	απεχουσιν	απεχουσι	G568	V-PAI-3P	ἀπέχω	P	V	I	None	P-V-I-e	None	1	0	0	1	0	1	1
86	144	Mat 	6	6	3	ὅἂ	οτ᾽αν	οταν	G3752	CONJ	ὅταν	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
87	145	Mat 	6	7	4	βάολογήση	βαπτολογησητε	βαττολογησητε	G945	V-AAS-2P	βαττολογέω	C	E		Translation-T	C-E--T	wrong ligature	0	1	1	0	0	0	1
88	145	Mat 	6	7	8	δσκσιν	δσκουσιν	δοκουσι	G1380	V-PAI-3P	δοκέω	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
89	147	Mat 	6	9	10	ὀαρoῖς	οαρανoις	ουρανοις	G3772	N-DPM	οὐρανός	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
90	148	Mat 	6	10	11	ὀαρῷ	οαρανω	ουρανω	G3772	N-DSM	οὐρανός	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
91	150	Mat 	6	12	6	ἡμῶμ	ημωμ	ημων	G2257	P-1GP	ἐγώ	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
92	152	Mat 	6	14	3	ἀφῆι	αφηιτε	αφητε	G863	V-2AAS-2P	ἀφίημι	PC	V		Spelling-X	PC-V--X	TR uses αφητε	1	1	0	1	0	0	1
93	152	Mat 	6	14	8	ἀυῶμ	αυτωμ	αυτων	G846	P-GPM	αὐτός	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
94	152	Mat 	6	14	16	ὀσράνιος	οσρανιος	ουρανιος	G3770	A-NSM	οὐράνιος	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
95	154	Mat 	6	16	1	ὅἂ	οτ᾽αν	οταν	G3752	CONJ	ὅταν	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
96	154	Mat 	6	16	6	ὥ	ωυνερ	ωσπερ	G5618	ADV	ὥσπερ	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
97	154	Mat 	6	16	8	ὑηκριαὶ	υητοκριται	υποκριται	G5273	N-NPM	ὑποκριτής	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
98	154	Mat 	6	16	10	ἀφίζσι	αφανιζουσιν	αφανιζουσι	G853	V-PAI-3P	ἀφανίζω	PC	V	I	None	PC-V-I-e	None	1	1	0	1	0	1	1
99	154	Mat 	6	16	16	φῶσι	φανωσιν	φανωσι	G5316	V-2APS-3P	φαίνω	PC	V	I	None	PC-V-I-e	None	1	1	0	1	0	1	1
100	154	Mat 	6	16	24	ἀπέχουσι	απεχουσιν	απεχουσι	G568	V-PAI-3P	ἀπέχω	PC	V	I	Spelling-X	PC-V-I-X	None	1	1	0	1	0	1	1
101	157	Mat 	6	19	2	ϑησαυρζετε	θησαυρζετε	θησαυριζετε	G2343	V-PAM-2P	θησαυρίζω	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
