ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Corrected	Error	Variance	Context	Inflection	Resolved
125	109	Mat 	5	19	23	δʼ	δ'	δ	G1161	CONJ	δέ	PC	E	I	Punctuation-P	PC-E-I-P	None	1	1	1	0	0	1	1
126	110	Mat 	5	20	3	περιεύσ	περισσευσει	περισσευη	G4052	V-PAS-3S	περισσεύω	PC	V	CI	Spelling-X	PC-V-CI-X	None	1	1	0	1	1	1	1
127	111	Mat 	5	21	9	δʼ	δ'	δ	G1161	CONJ	δέ	PC	E	I	Punctuation-P	PC-E-I-P	None	1	1	1	0	0	1	1
128	111	Mat 	5	21	11	φονεύσει	φονευσει	φονευση	G5407	V-AAS-3S	φονεύω	PC	V	CI	Spelling-X	PC-V-CI-X	TR uses φονεύσῃ.  	1	1	0	1	1	1	1
129	112	Mat 	5	22	18	δʼ	δ'	δ	G1161	CONJ	δέ	PC	E	I	Punctuation-P	PC-E-I-P	None	1	1	1	0	0	1	1
130	112	Mat 	5	22	30	δʼ	δ'	δ	G1161	CONJ	δέ	PC	E	I	Punctuation-P	PC-E-I-P	None	1	1	1	0	0	1	1
131	112	Mat 	5	22	38	γέενα	γεεναν	γεενναν	G1067	N-ASF	γέεννα	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
132	113	Mat 	5	23	10		και	και	G2532	CONJ	καί	P	V		None	P-V--	None	1	0	0	1	0	0	1
133	113	Mat 	5	23	11	ἐκ	εκει	εκει	G1563	ADV	ἐκεῖ	P	V		None	P-V--	None	1	0	0	1	0	0	1
135	119	Mat 	5	29	8	σκδαλίζῃ	σκανδαλιζη	σκανδαλιζη	G4624	V-PAS-3S	σκανδαλίζω	P	V		None	P-V--	None	1	0	0	1	0	0	1
136	119	Mat 	5	29	13	βάε	βαλλε	βαλε	G906	V-2AAM-2S	βάλλω	P	V		Spelling-X	P-V--X	None	1	0	0	1	0	0	1
137	119	Mat 	5	29	33	γέενα	γεεναν	γεενναν	G1067	N-ASF	γέεννα	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
138	120	Mat 	5	30	12	βάε	βαλλε	βαλε	G906	V-2AAM-2S	βάλλω	P	V		Spelling-X	P-V--X	None	1	0	0	1	0	0	1
139	120	Mat 	5	30	21		του	του	G3588	T-GSM	ὁ	P	V		None	P-V--	None	1	0	0	1	0	0	1
140	120	Mat 	5	30	32	γέενα	γεεναν	γεενναν	G1067	N-ASF	γέεννα	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
141	121	Mat 	5	31	5	ἀλύσ	απολυσει	απολυση	G630	V-AAS-3S	ἀπολύω	PC	V	I	Spelling-X	PC-V-I-X	None	1	1	0	1	0	1	1
142	122	Mat 	5	32	8	ἀπολύσ	απολυσει	απολυση	G630	V-AAS-3S	ἀπολύω	PC	V	I	Spelling-X	PC-V-I-X	None	1	1	0	1	0	1	1
143	122	Mat 	5	32	15	ποι	ποειι	ποιει	G4160	V-PAI-3S	ποιέω	PC	V	CI	Spelling-X	PC-V-CI-X	ι should precede . TR uses ποιει	1	1	0	1	1	1	1
144	122	Mat 	5	32	22	γαμήσ	γαμησει	γαμηση	G1060	V-AAS-3S	γαμέω	PC	V	CI	Spelling-X	PC-V-CI-X	TR uses γαμηση	1	1	0	1	1	1	1
145	124	Mat 	5	34	14		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
146	125	Mat 	5	35	7		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
147	125	Mat 	5	35	16		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
148	126	Mat 	5	36	6	ὀμώσς	ομωσεις	ομοσης	G3660	V-AAS-2S	ὀμνύω	PC	V	CI	Spelling-X	PC-V-CI-X	None	1	1	0	1	1	1	1
149	127	Mat 	5	37	12	ιὸ	παρισσον	περισσον	G4053	A-NSN	περισσός	PC	V	C	Spelling-X	PC-V-C-X	None	1	1	0	1	1	0	1
