0xE113	sigma_tau		στ	σπ		0xE7C3	sigma_pi	59331	57619
0xE114	sigma_tau_rho		στρ	σσ		0xE7C4	sigma_sigma	59332	57620
0xE115	sigma_chi		σχ	στ		0xE7C5	sigma_tau	59333	57621
0xE116	sigma_theta_alpha_iota		σθαι	στρ		0xE7C6	sigma_tau_rho	59334	57622
0xE117	sigma_pi		σπ	σχ		0xE7C7	sigma_chi	59335	57623
0xE120	tau_tall		τ	τ᾽		0xE7D0	tau_tall	59344	57632
0xE121	tau_alpha_iota		ται	τ		0xE7D1	tau_psili	59345	57633
0xE122	tau_eta_nu_varia_1		τὴν	ται		0xE7D2	tau_alpha_iota	59346	57634
0xE123	tau_eta_nu_varia_2		τὴν	τε		0xE7D3	tau_epsilon	59347	57635
0xE124	tau_eta_perispomeni_sigma_1		τῆς	τὴν		0xE7D4	tau_eta_nu_varia_1	59348	57636
0xE125	tau_eta_perispomeni_sigma_2		τῆς	τὴν		0xE7D5	tau_eta_nu_varia_2	59349	57637
0xE126	tau_iota		τι	τῆς		0xE7D6	tau_eta_perispomeni_sigma_1	59350	57638
0xE127	tau_omicron_1		το	τῆς		0xE7D7	tau_eta_perispomeni_sigma_2	59351	57639
0xE128	tau_omicron_1_varia		τὸ	τι		0xE7D8	tau_iota	59352	57640
0xE129	tau_omicron_2_varia		τὸ	το		0xE7D9	tau_omicron_1	59353	57641
0xE12A	tau_omicron_3_varia		τὸ	τὸ		0xE7DA	tau_omicron_1_varia	59354	57642
0xE12B	tau_omicron_varia_nu		τὸν	τὸ		0xE7DB	tau_omicron_2_varia	59355	57643
0xE12C	tau_omicron_upsilon_perispomeni		τοῦ	τὸ		0xE7DC	tau_omicron_3_varia	59356	57644
0xE12D	tau_rho		τρ	τὸ		0xE7DD	tau_omicron_4_varia	59357	57645
0xE12E	tau_omicron_nu_perispomeni		τοῦ	τὸν		0xE7DE	tau_omicron_varia_nu	59358	57646
0xE12F	tau_omicron_4_varia		τὸ	τοσ		0xE7DF	tau_tall_omicron_sigma	59359	57647
0xE130	tau_omega_perispomeni_prosgegrammeni		τῷ	τοῦ		0xE7E0	tau_omicron_upsilon_perispomeni_1	59360	57648
0xE131	tau_omega_perispomeni_nu_1		τῶν	τοῦ		0xE7E1	tau_omicron_upsilon_perispomeni_2	59361	57649
0xE132	tau_omega_perispomeni_nu_2		τῶν	τρ		0xE7E2	tau_rho_1	59362	57650
0xE133	tau_psili		τ᾽	τρ		0xE7E3	tau_rho_2	59363	57651
0xE134	tau_epsilon		τε	τῷ		0xE7E4	tau_tall_tau	59364	57652
0xE135	tau_omega_sigma		τρ	τῶν		0xE7E5	tau_omega_perispomeni_prosgegrammeni	59365	57653
0xE136	tau_tall_omega_sigma		τοσ	τῶν		0xE7E6	tau_omega_perispomeni_nu_1	59366	57654
0xE137	tau_tall_tau		ττ	ττ		0xE7E7	tau_omega_perispomeni_nu_2	59367	57655
0xE140	upsilon_dasia_iota		υἱ	υἱ		0xE7F0	upsilon_dasia_iota	59376	57664
0xE141	upsilon_nu		υν	υν		0xE7F1	upsilon_nu	59377	57665
0xE142	upsilon_oxia_nu		ύν	ύν		0xE7F2	upsilon_oxia_nu	59378	57666
0xE143	upsilon_perispomeni_nu		ῦν	ῦν		0xE7F3	upsilon_perispomeni_nu	59380	57667
0xE144	upsilon_perispomeni		ῦ	ῦ		0xE7F4	upsilon_perispomeni	59379	57668
0xE145	upsilon_psili_perispomeni_nu		ὖν	ὖν		0xE7F5	upsilon_psili_perispomeni_nu	59381	57669
0xE160	chi_rho		χρ	χρ		0xE810	chi_rho	59381	57696
0xE170	slant_1		-	-		0xE820	slant_1	59408	57712
0xE171	slant_2		-	-		0xE821	slant_2	59424	57713
0xE172	omega_perispomeni_nu		ῶν	ῶν		0xE822	omega_perispomeni_nu	59425	57714
						0xE823		59426	
