Line	Book	Chapter	Verse
810	Mat	23	36
811	Mat	23	37
812	Mat	23	38
813	Mat	23	39
814	Mat	24	1
815	Mat	24	2
816	Mat	24	3
817	Mat	24	4
818	Mat	24	5
819	Mat	24	6
820	Mat	24	7
821	Mat	24	8
822	Mat	24	9
823	Mat	24	10
824	Mat	24	11
825	Mat	24	12
826	Mat	24	13
827	Mat	24	14
828	Mat	24	15
829	Mat	24	16
830	Mat	24	17
831	Mat	24	18
832	Mat	24	19
833	Mat	24	20
834	Mat	24	21
835	Mat	24	22
836	Mat	24	23
837	Mat	24	24
838	Mat	24	25
839	Mat	24	26
840	Mat	24	27
841	Mat	24	28
842	Mat	24	29
843	Mat	24	30
844	Mat	24	31
845	Mat	24	32
846	Mat	24	33
847	Mat	24	34
848	Mat	24	35
849	Mat	24	36
850	Mat	24	37
851	Mat	24	38
852	Mat	24	39
853	Mat	24	40
854	Mat	24	41
855	Mat	24	42
856	Mat	24	43
857	Mat	24	44
858	Mat	24	45
859	Mat	24	46
860	Mat	24	47
861	Mat	24	48
862	Mat	24	49
863	Mat	24	50
864	Mat	24	51
865	Mat	25	1
866	Mat	25	2
867	Mat	25	3
868	Mat	25	4
869	Mat	25	5
870	Mat	25	6
871	Mat	25	7
872	Mat	25	8
873	Mat	25	9
874	Mat	25	10
875	Mat	25	11
876	Mat	25	12
877	Mat	25	13
878	Mat	25	14
879	Mat	25	15
880	Mat	25	16
881	Mat	25	17
882	Mat	25	18
883	Mat	25	19
884	Mat	25	20
885	Mat	25	21
886	Mat	25	22
887	Mat	25	23
888	Mat	25	24
889	Mat	25	25
890	Mat	25	26
891	Mat	25	27
892	Mat	25	28
893	Mat	25	29
894	Mat	25	30
895	Mat	25	31
896	Mat	25	32
897	Mat	25	33
898	Mat	25	34
899	Mat	25	35
900	Mat	25	36
901	Mat	25	37
902	Mat	25	38
903	Mat	25	39
904	Mat	25	40
905	Mat	25	41
906	Mat	25	42
907	Mat	25	43
908	Mat	25	44
909	Mat	25	45
910	Mat	25	46
911	Mat	26	1
912	Mat	26	2
913	Mat	26	3
914	Mat	26	4
915	Mat	26	5
916	Mat	26	6
917	Mat	26	7
918	Mat	26	8
919	Mat	26	9
920	Mat	26	10
921	Mat	26	11
922	Mat	26	12
923	Mat	26	13
924	Mat	26	14
925	Mat	26	15
926	Mat	26	16
927	Mat	26	17
928	Mat	26	18
929	Mat	26	19
930	Mat	26	20
931	Mat	26	21
932	Mat	26	22
933	Mat	26	23
934	Mat	26	24
935	Mat	26	25
936	Mat	26	26
937	Mat	26	27
938	Mat	26	28
939	Mat	26	29
940	Mat	26	30
941	Mat	26	31
